Date,Revenue
10-11-2020,10386
11-11-2020,12475
12-11-2020,14414
13-11-2020,20916
14-11-2020,12996
15-11-2020,11929
16-11-2020,10072
17-11-2020,12016
19-11-2020,17660
20-11-2020,15188
22-11-2020,21963
23-11-2020,34278
24-11-2020,18650
26-11-2020,17294
27-11-2020,14760
29-11-2020,10647
02-12-2020,14254
03-12-2020,16644
04-12-2020,20607
06-12-2020,10075
08-12-2020,11601
09-12-2020,16300
10-12-2020,17740
11-12-2020,10140
14-12-2020,11679
15-12-2020,11952
17-12-2020,17618
18-12-2020,18161
20-12-2020,11737
21-12-2020,12038
22-12-2020,10245
23-12-2020,11817
24-12-2020,19550
25-12-2020,21031
26-12-2020,36283
27-12-2020,23014
31-12-2020,19280
01-01-2021,21428
06-01-2021,25766
07-01-2021,30146
08-01-2021,15962
09-01-2021,11249
10-01-2021,12129
14-01-2021,22797
15-01-2021,21245
16-01-2021,11699
21-01-2021,14770
22-01-2021,24417
23-01-2021,11329
24-01-2021,12445
25-01-2021,10925
28-01-2021,12832
29-01-2021,13024
01-02-2021,10479
02-02-2021,12783
03-02-2021,18678
04-02-2021,14696
05-02-2021,17661
09-02-2021,20860
10-02-2021,13602
12-02-2021,10310
18-02-2021,24247
19-02-2021,14706
24-02-2021,13719
25-02-2021,20237
26-02-2021,26608
27-02-2021,12789
28-02-2021,12036
01-03-2021,13212
04-03-2021,16727
05-03-2021,15474
06-03-2021,12850
10-03-2021,17752
11-03-2021,25704
12-03-2021,15302
13-03-2021,28196
17-03-2021,14608
18-03-2021,14909
23-03-2021,11494
24-03-2021,15190
25-03-2021,22701
26-03-2021,22587
28-03-2021,14587
31-03-2021,14957
01-04-2021,23368
02-04-2021,15782
03-04-2021,12027
07-04-2021,16777
08-04-2021,19843
09-04-2021,23870
10-04-2021,10431
11-04-2021,11221
12-04-2021,10027
13-04-2021,11484
14-04-2021,16347
15-04-2021,15828
16-04-2021,14714
18-04-2021,12251
22-04-2021,24506
23-04-2021,14358
25-04-2021,11650
29-04-2021,22655
30-04-2021,19167
02-05-2021,12111
03-05-2021,11273
04-05-2021,13805
05-05-2021,11196
06-05-2021,18611
07-05-2021,14502
